rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
59,E52.01,E,APPROX(fixed-273c),cat,3,2300,33.484,large-sell,1143,40.157,large-buy,1156,34.689,5.469,-2.199,12.204,7,22.135,22.405,40.079,
60,E31.04,E,,num,4,6573,95.691,Q4,1640,37.866,Q1,1644,43.309,-5.443,-20.835,8.099,23,22.439,23.601,40.079,
61,E05.02,E,,num,4,6645,96.739,Q4,1638,38.828,Q1,1677,44.186,-5.358,-9.534,-0.965,23,22.405,23.494,40.079,
62,E12.03,E,,num,4,6855,99.796,Q4,1349,36.175,Q1,2120,41.462,-5.287,-10.795,0.094,23,24.833,24.104,40.079,
63,E50.09,E,sz-coverage,num,4,2270,33.047,Q4,438,31.735,Q1,787,36.976,-5.241,-12.013,0.814,7,23.744,24.396,40.079,
64,E01.01,E,,num,4,6869,100.000,Q4,1717,33.722,Q1,1718,38.941,-5.219,-12.226,9.941,12,23.937,22.352,40.079,
65,E02.01,E,,num,4,6869,100.000,Q4,1717,33.722,Q1,1718,38.941,-5.219,-12.226,9.941,12,23.937,22.352,40.079,
66,E12.01,E,,num,4,6869,100.000,Q4,1717,35.236,Q1,1718,40.454,-5.218,-14.218,2.622,23,24.345,23.574,40.079,
67,E12.08,E,,num,4,6869,100.000,Q4,1717,35.236,Q1,1718,40.454,-5.218,-14.218,2.622,23,24.345,23.574,40.079,
68,E20.04,E,,num,4,6855,99.796,Q4,1404,36.325,Q1,2958,41.413,-5.088,-9.506,-0.806,23,26.211,23.867,40.079,
69,E50.08,E,sz-coverage,num,4,2299,33.469,Q4,575,33.391,Q1,577,38.475,-5.084,-14.376,8.733,7,23.304,23.397,40.079,
70,K.08,K,,num,4,6865,99.942,Q4,1716,36.014,Q1,1717,41.060,-5.046,-12.894,3.215,23,22.727,22.365,40.079,
71,E09.09,E,,num,4,6645,96.739,Q4,1642,44.032,Q1,1662,38.989,5.042,-10.726,25.823,23,22.412,21.540,40.079,
72,B-P2.05,B-,,num,4,6869,100.000,Q4,1717,36.634,Q1,1719,41.594,-4.960,-15.581,3.926,23,24.228,24.084,40.079,
73,E24.06,E,,num,4,6855,99.796,Q4,1473,43.449,Q1,2519,38.547,4.902,0.999,8.661,23,23.218,24.256,40.079,
74,E14.09,E,,num,4,6866,99.956,Q4,1717,36.925,Q1,1717,41.759,-4.834,-9.184,-0.587,23,25.568,23.122,40.079,
75,K.12,K,,num,2,6645,96.739,Q2,75,45.333,Q1,6570,40.624,4.709,-4.660,15.622,23,22.667,24.003,40.079,
76,B-S.09,B-,,num,4,6869,100.000,Q4,1717,39.546,Q1,1718,34.866,4.680,-3.925,11.553,23,24.170,25.087,40.079,
77,E39.04,E,,num,4,6855,99.796,Q4,478,44.770,Q1,2200,40.136,4.634,0.319,9.362,23,24.268,24.909,40.079,
