rank,feature,family,approx,kind,n_cats,n_resolved,coverage,top_bin,n_top,tpr_top,bot_bin,n_bot,tpr_bot,effect,ci_lo,ci_hi,eff_blocks,whipf_top,whipf_bot,baseline,note
195,E15.04,E,,num,4,6855,99.796,Q4,1714,34.189,Q1,1714,35.414,-1.225,-3.976,0.848,23,24.562,24.971,35.682,
196,E36.05,E,,num,4,6869,100.000,Q4,1717,34.886,Q1,1718,36.088,-1.202,-3.077,0.490,23,24.170,23.807,35.682,
197,B-P4.02,B-,,cat,2,6869,100.000,bear,3758,36.216,bull,3111,35.037,1.179,-2.775,5.187,23,25.599,22.597,35.682,
198,E12.02,E,,num,4,6855,99.796,Q4,1714,36.464,Q1,1714,35.298,1.167,-1.861,4.280,23,25.088,24.037,35.682,
199,C.07,C,,num,4,6869,100.000,Q4,1445,35.433,Q1,2095,34.272,1.160,-6.339,8.420,23,23.806,25.346,35.682,
200,E19.01,E,,num,3,6869,100.000,Q3,1717,35.877,Q1,3435,37.001,-1.125,-4.682,2.344,23,23.646,24.658,35.682,
201,E24.02,E,,num,4,6855,99.796,Q4,1714,34.072,Q1,1714,35.181,-1.109,-4.079,1.921,23,23.804,24.854,35.682,
202,E38.07,E,,num,4,6869,100.000,Q4,1717,34.886,Q1,1718,35.972,-1.086,-2.529,0.293,23,25.393,24.854,35.682,
203,E33.06,E,,num,4,6869,100.000,Q4,1717,35.236,Q1,1718,36.321,-1.085,-3.196,1.255,23,22.481,22.759,35.682,
204,E14.06,E,,num,4,6869,100.000,Q4,1717,35.818,Q1,1718,36.903,-1.085,-2.624,0.452,23,24.578,23.632,35.682,
205,E06.03,E,,num,4,6855,99.796,Q4,1714,36.173,Q1,1714,35.123,1.050,-1.545,3.701,23,25.029,23.221,35.682,
206,E24.09,E,,num,4,6866,99.956,Q4,1717,33.838,Q1,1717,34.886,-1.048,-5.631,3.482,23,24.228,24.345,35.682,
207,E20.08,E,,num,4,6869,100.000,Q4,1717,36.692,Q1,1718,37.718,-1.026,-2.531,0.544,23,23.529,23.050,35.682,
208,E28.06,E,,num,4,6855,99.796,Q4,1667,34.613,Q1,1732,35.624,-1.010,-7.372,4.423,23,25.375,26.270,35.682,
209,E24.04,E,,num,4,6645,96.739,Q4,1646,33.657,Q1,1663,34.636,-0.979,-6.241,4.351,23,24.423,24.474,35.682,
210,B-P3.07,B-,,num,4,6869,100.000,Q4,1201,38.385,Q1,1929,37.429,0.956,-8.331,10.042,23,24.147,25.143,35.682,
211,E19.07,E,,num,4,6869,100.000,Q4,1717,36.284,Q1,1718,35.332,0.952,-0.598,2.421,23,24.869,24.389,35.682,
212,E38.01,E,,num,3,6869,100.000,Q3,1717,37.100,Q1,3435,36.157,0.942,-4.410,6.210,23,24.927,24.076,35.682,
213,E14.03,E,,num,4,6855,99.796,Q4,1714,36.056,Q1,1714,35.181,0.875,-2.422,4.182,23,25.379,24.096,35.682,
214,E37.01,E,,num,3,6869,100.000,Q3,1717,36.284,Q1,3435,35.459,0.826,-1.957,3.639,23,24.287,24.745,35.682,
215,E19.08,E,,num,4,6866,99.956,Q4,1717,35.119,Q1,1718,35.914,-0.794,-5.498,3.101,23,23.762,26.193,35.682,
216,B-P2.09,B-,,num,4,6869,100.000,Q4,1289,35.997,Q1,1774,35.231,0.766,-3.124,4.797,23,23.662,25.028,35.682,
217,E18.07,E,,num,4,6869,100.000,Q4,1717,34.712,Q1,1718,35.448,-0.736,-2.488,1.049,23,24.287,24.913,35.682,
218,E23.01,E,,num,4,6869,100.000,Q4,1717,35.818,Q1,1718,36.554,-0.736,-5.519,4.391,23,24.636,23.516,35.682,
219,B-P2.08,B-,,num,4,6869,100.000,Q4,1717,36.925,Q1,1718,37.660,-0.735,-5.207,3.811,23,25.218,22.875,35.682,
220,E23.06,E,,num,4,6855,99.796,Q4,1436,35.515,Q1,2547,36.239,-0.723,-5.276,3.986,23,23.538,24.382,35.682,
221,B-P1.11,B-,,num,2,6869,100.000,Q2,2067,35.220,Q1,4802,35.881,-0.661,-3.577,2.113,23,24.577,24.094,35.682,
222,E36.04,E,,num,4,6855,99.796,Q4,1233,34.063,Q1,2255,34.723,-0.660,-3.166,1.306,23,22.790,25.011,35.682,
223,C.04,C,,cat,2,6869,100.000,chop,3423,35.992,trend,3446,35.374,0.617,-2.660,3.984,23,23.839,24.637,35.682,
224,E47.02,E,,num,4,6855,99.796,Q4,378,34.127,Q1,1718,33.527,0.600,-6.647,7.581,21,26.190,26.251,35.682,
225,B-S.10,B-,,num,4,6869,100.000,Q4,1717,39.779,Q1,1719,39.267,0.512,-5.993,7.930,23,24.869,26.760,35.682,
226,E38.06,E,,num,4,6855,99.796,Q4,895,36.201,Q1,3330,35.766,0.435,-2.677,3.490,23,23.911,24.204,35.682,
